rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,site_relevance,possible_duplicate_of,place_id,source_url
11,needs_review,gate4:sweep_possible_duplicate,MetroPawn,https://ezpawn.com/stores/nv/reno/50-e-grove-st-unit-a,Services,service,OPERATIONAL,4.6,220,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJmf-M8-A-mYARc6_PtX-mJWY,,,ChIJmf-M8-A-mYARc6_PtX-mJWY,ChIJkyK6XYVAmYAR2_whMgCjkok,https://maps.google.com/?cid=9913164951032298715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,needs_review,gate4:verified-slug:patagonia,Patagonia,http://www.patagonia.com/,Sportswear Store,sportswear_store,OPERATIONAL,4.4,216,true,alpine-ski; backpacking; gear-shop; snowboard,backpacking gear rental; ski shop; snowboard shop; sporting goods store,core,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJRV9f9HaQmYAR6kmr0HZp9kE,https://maps.google.com/?cid=4753102415764081130&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
13,needs_review,gate4:sweep_possible_duplicate,Big 5 Sporting Goods,http://www.big5sportinggoods.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.3,216,true,cycling; fishing-gear; gear-shop; snowboard,bike shop; fishing bait and tackle shop; snowboard shop; sporting goods store,core; gap,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJVQaY73VAmYARn0kEp4dptlI,,,ChIJVQaY73VAmYARn0kEp4dptlI,ChIJ8XowCYO9mYARf9bJ0czzw5w,https://maps.google.com/?cid=11296140351393879679&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,needs_review,gate4:sweep_possible_duplicate,Clearly Tahoe,https://clearlytahoe.com/incline-village/,Tour Agency,tour_agency,OPERATIONAL,4.9,214,true,canoe; kayak; pontoon; snowshoe; sup; watersports,canoe rental; kayak rental; kayak tours; paddleboard rental; pontoon rental; snowshoe rental; watersports rental,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJPTg0tSKbmYARgDzXqwNGgqo,,,ChIJPTg0tSKbmYARgDzXqwNGgqo,ChIJY9svMahxmYARM1p7-_L3-TA,https://maps.google.com/?cid=3529124405994805811&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
15,needs_review,gate4:sweep_possible_duplicate,Truckee River Raft Co.,http://www.truckeeriverraft.com/,Tour Agency,tour_agency,OPERATIONAL,4.7,197,true,powerboat; rafting; river-tube; snow-tube,boat rental; river float rental; river tubing rental; snow tube rental; whitewater rafting,core; experience,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJjU1hg4XXm4AR1icF995eImA,,,ChIJjU1hg4XXm4AR1icF995eImA,ChIJNxrjaZ19mYARcNS3tWQt3xs,https://maps.google.com/?cid=2008373869399233648&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
16,needs_review,gate4:verified-slug:coldstream-adventures-tours,Coldstream Adventures Tours,https://www.coldstreamadventures.com/,Tour Agency,tour_agency,OPERATIONAL,4.9,186,true,atv; snow-tube; snowmobile,atv rental; sled rental; snowmobile rental,core; experience,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJqXFkczDem4AR7b6Aqfody8M,https://maps.google.com/?cid=14108403220091027181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
17,needs_review,gate4:sweep_possible_duplicate,MetroPawn,https://ezpawn.com/stores/nv/reno/800-w-5th-st,Services,service,OPERATIONAL,4.3,181,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJmf-M8-A-mYARc6_PtX-mJWY,,,ChIJmf-M8-A-mYARc6_PtX-mJWY,ChIJd6rxZy5HmYARpxnN1onJdAc,https://maps.google.com/?cid=537275849415399847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
18,needs_review,gate4:sweep_possible_duplicate,Reno Running Company,http://www.renorunningcompany.com/,Shoe Store,shoe_store,OPERATIONAL,4.9,135,true,gear-shop,sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJe7KVfY4UmYAR3qXoQM1Ay4Y,,,ChIJe7KVfY4UmYAR3qXoQM1Ay4Y,ChIJPU_R4WtAmYAR4IgZPnf-fag,https://maps.google.com/?cid=12141139958557149408&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
19,needs_review,gate4:verified-slug:ski-pro,Ski Pro,https://skipro.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.7,126,true,alpine-ski; backcountry-ski; gear-shop; nordic-ski; snowboard; snowshoe,alpine touring ski rental; backcountry ski rental; cross country ski rental; outdoor gear rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; splitboard rental; sporting goods store,core,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJX19jQLs_mYAR1rSMr9FQlCg,https://maps.google.com/?cid=2924050919593915606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
20,needs_review,gate4:sweep_possible_duplicate,MetroPawn,https://ezpawn.com/stores/nv/reno/6150-s-virginia-st,Services,service,OPERATIONAL,4.2,124,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJmf-M8-A-mYARc6_PtX-mJWY,,,ChIJmf-M8-A-mYARc6_PtX-mJWY,ChIJyVy-Bvc_mYARtL4-4BO64DY,https://maps.google.com/?cid=3954365067360648884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
21,needs_review,gate4:sweep_possible_duplicate,Reno Running Company,http://www.renorunningcompany.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.9,120,true,gear-shop,sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJe7KVfY4UmYAR3qXoQM1Ay4Y,,,ChIJe7KVfY4UmYAR3qXoQM1Ay4Y,ChIJITkcCBM5mYARO5jDT_pvwDQ,https://maps.google.com/?cid=3801161206371424315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
22,needs_review,gate4:verified-slug:north-tahoe-watersports-inc,North Tahoe Watersports Inc,https://www.northtahoewatersports.com/,Services,service,OPERATIONAL,4.6,114,true,alpine-ski; canoe; cycling; gear-shop; kayak; pontoon; powerboat; pwc; sailing; sup; wakeboard; watersports,bike rental; boat charter; boat rental; canoe rental; jet ski rental; kayak rental; lake toy rental; motorboat rental; outdoor equipment rental; paddleboard rental; personal watercraft rental; pontoon rental; sailboat rental; ski boat rental; ski rental; watersports rental; waverunner rental,core,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJSTGEgyx7mYARpkagCc9TK8A,https://maps.google.com/?cid=13847253627965556390&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
23,needs_review,gate4:sweep_possible_duplicate,Powder House Ski and Snowboard At The Gondola,http://www.tahoepowderhouse.com/powder-house-at-the-gondola,Services,service,OPERATIONAL,3.6,102,true,alpine-ski; cycling; gear-shop; mtb; snow-tube; snowboard; snowshoe,bike rental; mountain bike rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; sled rental; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core; experience,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJNd1MfXaQmYARGUhCfr5Mou8,,,ChIJNd1MfXaQmYARGUhCfr5Mou8,ChIJqbAd6naQmYARzmDmLE2LviY,https://maps.google.com/?cid=2791821982598324430&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
24,needs_review,gate4:verified-slug:tahoe-paddle-sports-clear-kayak-adventures-near-south-lake-tahoe-ca,"Tahoe Paddle Sports Clear Kayak Adventures near South Lake Tahoe, CA",https://tahoepaddlesports.com/,Tour Agency,tour_agency,OPERATIONAL,4.7,91,true,canoe; kayak; sup; watersports,canoe rental; kayak rental; kayak tours; paddleboard rental; watersports rental,core,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJJcZ34aSbmYARL8AlRsXZDuU,https://maps.google.com/?cid=16505369125668110383&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
25,needs_review,gate4:shared-domain:mountainhardwareandsports.com,Mountain Hardware and Sports,http://www.mountainhardwareandsports.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=17493,Hardware Store,hardware_store,OPERATIONAL,4.7,91,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,duplicate,"Website domain already exists, but name/location did not corroborate a duplicate.",,,,ChIJcSAJVZBhmYARzgK_2BUwZdU,https://maps.google.com/?cid=15376749373115269838&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
26,needs_review,gate4:sweep_possible_duplicate,Rental Guys,https://www.rentalguys.com/,Services,service,OPERATIONAL,4.6,84,true,gear-shop,outdoor equipment rental,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJ3-J6Qz0VmYARHxOTx23jJUY,,,ChIJ3-J6Qz0VmYARHxOTx23jJUY,ChIJsZhIvhOgmYAR4IKgwjXO064,https://maps.google.com/?cid=12597639312979296992&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
27,needs_review,gate4:verified-slug:pyramid-peak-sports-bike-rentals,Pyramid Peak Sports& Bike rentals,http://www.pyramidpeak.ski/,Services,service,OPERATIONAL,4.8,80,true,alpine-ski; backcountry-ski; cycling; dirtbike; gear-shop; mtb; nordic-ski; snowboard; snowshoe,backcountry ski rental; bike rental; bike shop; cross country ski rental; dirt bike rental; mountain bike rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJ2YMdXQSQmYARX77l7FKok-A,https://maps.google.com/?cid=16182462960187588191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
28,needs_review,gate4:sweep_possible_duplicate,Surefoot,https://www.surefoot.com/locations/northstar,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.7,79,true,alpine-ski; gear-shop; snowboard,ski rental; ski shop; snowboard rental; snowboard shop; sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJ-Xt0guvZm4ARovxMnGTSl5I,,,ChIJ-Xt0guvZm4ARovxMnGTSl5I,ChIJ1fc-CLRjmYARfP56SzaO9XE,https://maps.google.com/?cid=8211625859425697404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
29,needs_review,gate4:verified-slug:sierra-adventures-activities-reno-tahoe-llc,"Sierra Adventures / Activities Reno Tahoe, LLC",https://m.wildsierra.com/,,,OPERATIONAL,3.6,73,true,alpine-ski; atv; backpacking; canoe; climbing; cycling; dirtbike; ebike; gear-shop; kayak; mtb; pwc; river-tube; snow-tube; snowboard; snowmobile; snowshoe; utv; wakeboard; watersports,atv rental; backpacking gear rental; bike rental; bike shop; canoe rental; climbing gear rental; dirt bike rental; ebike rental; jet ski rental; kayak rental; kayak tours; mountain bike rental; outdoor equipment rental; outdoor gear rental; quad rental; river float rental; river tubing rental; rzr rental; side by side rental; ski boat rental; ski rental; ski shop; sled rental; snow tube rental; snowboard rental; snowboard shop; snowmobile rental; snowshoe rental; sporting goods store; utv rental; watersports rental,core; experience,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJkYDDOMtAmYAR3MpEhhvlzMo,https://maps.google.com/?cid=14613306797289949916&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
30,needs_review,gate4:shared-domain:patagonia.com,Patagonia Service Center,http://www.patagonia.com/,Storage,storage,OPERATIONAL,4.7,70,true,gear-shop,sporting goods store,core,standard,covered_tile,0,duplicate,"Website domain already exists, but name/location did not corroborate a duplicate.",,,,ChIJLcfk8AtEmYARiJVDMeAnT8k,https://maps.google.com/?cid=14505856768636327304&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
31,needs_review,gate4:sweep_possible_duplicate,Obexer's Water Sports,https://www.obexersboat.com/water-sports.html,Services,service,OPERATIONAL,4.9,68,true,alpine-ski; canoe; kayak; pontoon; powerboat; pwc; wakeboard; watersports,boat charter; boat rental; canoe rental; jet ski rental; kayak rental; motorboat rental; personal watercraft rental; pontoon rental; ski boat rental; ski rental; ski shop; wakeboard boat rental; watersports rental; waverunner rental,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJw-qPGNZ_mYAR_mMlUj4Km5s,,,ChIJw-qPGNZ_mYAR_mMlUj4Km5s,ChIJSVwePtZ_mYARHh8lr4sJEcU,https://maps.google.com/?cid=14200141595619434270&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
32,needs_review,gate4:sweep_possible_duplicate,Tahoe Dave's Skis & Boards,https://www.tahoedaves.com/,Services,service,OPERATIONAL,4.9,66,true,alpine-ski; backcountry-ski; gear-shop; nordic-ski; snow-tube; snowboard; snowshoe,alpine touring ski rental; backcountry ski rental; cross country ski rental; outdoor equipment rental; outdoor gear rental; ski rental; ski shop; sled rental; snowboard rental; snowboard shop; snowshoe rental; splitboard rental; sporting goods store,core; experience,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJQ3A0TXR9mYARj3o0wJE-6_M,,,ChIJQ3A0TXR9mYARj3o0wJE-6_M,ChIJq7hAzxvfm4AR1KpsAkJLSNk,https://maps.google.com/?cid=15656846851434130132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
33,needs_review,gate4:verified-slug:irie-rafting-company-inc,IRIE Rafting Company Inc,http://www.raftirie.com/,Tour Agency,tour_agency,OPERATIONAL,4.6,65,true,outfitter; rafting; river-tube,adventure outfitter; river float rental; whitewater rafting,core; experience,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJ42ZPWIbfm4ARuH_EEWnjqJ0,https://maps.google.com/?cid=11360580100451237816&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
34,needs_review,gate4:sweep_possible_duplicate,Lids,https://www.lids.com/store/lids-meadowood-mall/sd-28002995+z-835147-2683726853?_s=bm-LIDS-RETAIL-GMB,Clothing Store,clothing_store,OPERATIONAL,3.6,64,true,gear-shop,sporting goods store,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJw8CAI-s-mYAR6H8Y6mZk23w,,,ChIJw8CAI-s-mYAR6H8Y6mZk23w,ChIJb986pfM_mYAREx531JabZMg,https://maps.google.com/?cid=14439837377368628755&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
35,needs_review,gate4:verified-slug:adrenaline-connection-inc,"Adrenaline Connection, Inc.",,Services,service,OPERATIONAL,4.1,63,true,alpine-ski; atv; cycling; dirtbike; snow-tube; snowmobile; utv,atv rental; bike rental; bike shop; dirt bike rental; quad rental; rzr rental; side by side rental; ski rental; ski shop; sled rental; snowmobile rental; utv rental,core; experience,standard,covered_tile,0,duplicate,"Slug was previously verified, but location/domain did not corroborate a same-operator duplicate.",,,,ChIJI_KoU5Xfm4ARF823vGxcmmI,https://maps.google.com/?cid=7105092984222764311&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
36,needs_review,gate4:sweep_possible_duplicate,Reno KTM Husqvarna GasGas- Now owned by Michael's Reno Powersports,https://www.michaelsreno.com/,Store,store,OPERATIONAL,4.1,62,true,cycling,bike shop,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJQ9CNBxgVmYARWYRFC6jt0AI,,,ChIJQ9CNBxgVmYARWYRFC6jt0AI,ChIJWxyrn0w_mYARO7LbWv5KYMM,https://maps.google.com/?cid=14078334891466666555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
37,needs_review,gate4:shared-domain:epicmountainrentals.com,Kirkwood Mountain Sports,https://www.epicmountainrentals.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.7,59,true,alpine-ski; cycling; gear-shop; mtb; snowboard; snowshoe,bike shop; mountain bike rental; ski rental; ski shop; snowboard rental; snowboard shop; snowshoe rental; sporting goods store,core,standard,covered_tile,0,duplicate,"Website domain already exists, but name/location did not corroborate a duplicate.",,,,ChIJ5zLW07L2mYARbnUkbo-NMlY,https://maps.google.com/?cid=6211182483265058158&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
38,needs_review,gate4:shared-domain:kayaktahoe.com,Kayak Tahoe,https://kayaktahoe.com/,Services,service,OPERATIONAL,4.3,58,true,canoe; kayak; powerboat; sup; watersports,boat rental; canoe rental; kayak rental; kayak tours; paddleboard rental; watersports rental,core,standard,covered_tile,0,duplicate,"Website domain already exists, but name/location did not corroborate a duplicate.",,,,ChIJb9Vvv7SHmYARXA3c6wo9eCM,https://maps.google.com/?cid=2555859905648790876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
39,needs_review,gate4:sweep_possible_duplicate,SuperPawn,https://www.firstcash.com/,Services,service,OPERATIONAL,3.6,58,true,cycling,bike shop,core,standard,covered_tile,0,duplicate,possible_duplicate_of:ChIJuQx3sGNHmYARHGu8qqYIWEA,,,ChIJuQx3sGNHmYARHGu8qqYIWEA,ChIJT6snIHIKmYARFEidNU8XVFw,https://maps.google.com/?cid=6652968178502420500&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
