rank,status,reason,manual_review_label,pre_manual_review_reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,site_relevance,possible_duplicate_of,place_id,source_url
11,survivor,cleared_gates_0-5,,,Lake Tahoe Bleu Wave,http://www.tahoebleuwave.com/,Tour Agency,tour_agency,OPERATIONAL,4.8,837,true,powerboat; sailing,boat charter; sailboat rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: the registrable domain corresponds to the operator name.,domain_matches_operator_name,,ChIJzyEEtN-amYARRRhbkQCJ28k,https://maps.google.com/?cid=14545370057054820421&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
12,survivor,cleared_gates_0-5,,,Michael's Reno Powersports,https://www.michaelsreno.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB-service,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.2,788,true,alpine-ski; cycling; gear-shop,bike shop; ski shop; sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJQ9CNBxgVmYARWYRFC6jt0AI,https://maps.google.com/?cid=202923289231066201&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
13,survivor,cleared_gates_0-5,,,Red Hawk Golf and Resort,http://www.redhawkgolfandresort.com/,Golf Course,golf_course,OPERATIONAL,4.4,771,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJeSCA0iI6mYARdGkgQxgKutM,https://maps.google.com/?cid=15256517786992666996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,survivor,cleared_gates_0-5,,,Rent A Boat Lake Tahoe,https://www.rentaboattahoe.com/,Services,service,OPERATIONAL,4.5,66,true,canoe; kayak; pontoon; powerboat; pwc; watersports,boat rental; canoe rental; jet ski rental; kayak rental; motorboat rental; personal watercraft rental; pontoon rental; watersports rental; waverunner rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ_-5TXat6mYARCYfaxvb_aVg,https://maps.google.com/?cid=6370904583255525129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
15,survivor,cleared_gates_0-5,,,North Tahoe Wakesurf and Charter,http://wakesurfnorthtahoe.com/,Services,service,OPERATIONAL,5,64,true,canoe; pontoon; powerboat; watersports,boat rental; canoe rental; pontoon rental; watersports rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ49lVJYGecw0RKKXgkSl03yI,https://maps.google.com/?cid=2512854838985925928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
16,survivor,cleared_gates_0-5,,,The Spa and Sauna Co. - S Reno,https://spaandsauna.com/locations-south-virginia-st-reno/?utm_source=organic&utm_medium=GMB&utm_campaign=GMB%20Spa%20and%20Billiard&utm_content=GMB%20Virginia%20St,Store,store,OPERATIONAL,4.8,589,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJB5oFDj8VmYAR9PxnV3JuLiI,https://maps.google.com/?cid=2463027483589999860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
17,survivor,cleared_gates_0-5,,,Tahoe Keys Marina,https://tahoekeysmarina.com/,Marina,marina,OPERATIONAL,4.3,588,true,canoe; pontoon; powerboat; pwc; sailing; wakeboard,boat charter; boat rental; canoe rental; jet ski rental; pontoon rental; sailboat rental; ski boat rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ0_Pg0Y2PmYARH5uyZfJE8Bo,https://maps.google.com/?cid=1941127247275662111&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
18,survivor,cleared_gates_0-5,,,Lake Tahoe Casino Party,http://www.laketahoecasinoparty.com/,Services,service,OPERATIONAL,4.8,52,true,camping,tent rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJeUDaKo0VmYARYOXHK-9TNj4,https://maps.google.com/?cid=4482862765790717280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
19,survivor,cleared_gates_0-5,,,Tahoe Cruises /Spirit of Tahoe / Safari Rose,http://www.tahoecruises.com/,Tour Agency,tour_agency,OPERATIONAL,4.8,498,true,powerboat,boat charter,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJwdKiDN6amYARmHcUTF73q5k,https://maps.google.com/?cid=11073216093195892632&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
20,survivor,cleared_gates_0-5,,,Super Simple Photography,https://www.supersimpleco.com/,Services,service,OPERATIONAL,5,46,true,camping,tent rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJmUKkOV2FfoIRnXIQCTxI5RU,https://maps.google.com/?cid=1577746667150537373&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
21,survivor,cleared_gates_0-5,,,Sail Tahoe Blue | Sailing Cruises,http://www.sailtahoeblue.com/,Services,service,OPERATIONAL,5,462,true,alpine-ski; canoe; pontoon; powerboat; pwc; sailing; wakeboard,boat charter; boat rental; canoe rental; jet ski rental; motorboat rental; pontoon rental; sailboat rental; ski boat rental; ski rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: the registrable domain corresponds to the operator name.,domain_matches_operator_name,,ChIJs20KKZiRmYARH90vw83AWkU,https://maps.google.com/?cid=4997518726496509215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
22,survivor,cleared_gates_0-5,,,Greenhouse Garden Center and Gift Shop,http://www.greenhousegardencenter.com/,Garden Center,garden_center,OPERATIONAL,4.6,450,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ4xKSCRSgmYAR2-u3F9IfKCM,https://maps.google.com/?cid=2533309777597426651&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
23,survivor,cleared_gates_0-5,,,Tahoe Surf Company,http://www.tahoesurfcompany.com/,Services,service,OPERATIONAL,5,44,true,watersports,watersports rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJVVJQEh9gmYARhP2i4lexGrY,https://maps.google.com/?cid=13121995455319965060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
24,survivor,cleared_gates_0-5,,,PlumpJack Inn,https://www.plumpjackinn.com/?utm_medium=organic&utm_source=google&utm_campaign=business-listing,Resort hotel,resort_hotel,OPERATIONAL,4.3,422,true,alpine-ski,ski rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJZ5DAu_TXJIgR7irwk2GeSMo,https://maps.google.com/?cid=14576074335915617006&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
25,survivor,cleared_gates_0-5,,,Truckee Watersports,https://www.truckeewatersports.com/,Services,service,OPERATIONAL,5,38,true,canoe; kayak; pontoon; powerboat; pwc; sup; watersports,boat rental; canoe rental; jet ski rental; kayak rental; motorboat rental; paddleboard rental; personal watercraft rental; pontoon rental; watersports rental; waverunner rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ67e0W4xhmYAR7ek85J3KG0c,https://maps.google.com/?cid=5123911780551944685&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
26,survivor,cleared_gates_0-5,,,Tahoe Wakebusters,http://www.tahoewakebusters.com/,Services,service,OPERATIONAL,4.9,35,true,canoe; pontoon; powerboat,boat rental; canoe rental; pontoon rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJC-M6c2mDmYARooZiRflQOuc,https://maps.google.com/?cid=16661718802951734946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
27,survivor,cleared_gates_0-5,,,Starbucks Coffee Company,https://www.starbucks.com/store-locator/store/1020531,Coffee Shop,coffee_shop,OPERATIONAL,3.8,357,true,cycling,bike shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJh3Vq9Erem4ARp7DlEopmp64,https://maps.google.com/?cid=12585140426918703271&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
28,survivor,cleared_gates_0-5,,,MetroPawn,https://ezpawn.com/stores/nv/sparks/255-e-glendale-ave,Services,service,OPERATIONAL,4.8,341,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJmf-M8-A-mYARc6_PtX-mJWY,https://maps.google.com/?cid=7360472233448288115&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
29,survivor,cleared_gates_0-5,,,EuroCycle Reno,https://rideeurocycle.com/,Store,store,OPERATIONAL,4.4,337,true,cycling,bike shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJt_DfxUAVmYAR4rshiiKBf5k,https://maps.google.com/?cid=11060701195191565282&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
30,survivor,cleared_gates_0-5,,,Tahoe Paradise Park,http://www.tahoeparadisepark.com/,Park,park,OPERATIONAL,4.8,336,true,disc-golf,disc golf rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: the registrable domain corresponds to the operator name.,domain_matches_operator_name,,ChIJcaR1JCqMmYARM3vcgiLxcpM,https://maps.google.com/?cid=10624819601447090995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
31,survivor,cleared_gates_0-5,,,Drink Coffee Do Stuff,https://drinkcoffeedostuff.com/,Coffee Shop,coffee_shop,OPERATIONAL,4.3,333,true,alpine-ski,ski shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJR0FCx26RmYARC1DXrYKAuMU,https://maps.google.com/?cid=14247278719937237003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
32,survivor,cleared_gates_0-5,,,Coffeebar,https://www.coffeebar.com/,Coffee Shop,coffee_shop,OPERATIONAL,4.2,332,true,alpine-ski,ski shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJGdQ_nOvZm4ARCVcV08a8cic,https://maps.google.com/?cid=2842541876955141897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
33,survivor,cleared_gates_0-5,,,The Water Traveler,https://www.thewatertraveler.com/,Tour Agency,tour_agency,OPERATIONAL,5,32,true,powerboat,boat rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJuwLh4faLfgURUsImlalbIaw,https://maps.google.com/?cid=12403295632665002578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
34,survivor,cleared_gates_0-5,,,Float Reno,http://www.floatreno.com/,,,OPERATIONAL,4.9,32,true,river-tube,river float rental; river tubing rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: the registrable domain corresponds to the operator name.,domain_matches_operator_name,,ChIJ4XP3hnRmFUQRwCjwaFfHQaY,https://maps.google.com/?cid=11980075662018881728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
35,survivor,cleared_gates_0-5,,,Tahoe Lake Tours,https://tahoeboattours.com/,Tour Agency,tour_agency,OPERATIONAL,4.7,328,true,canoe; kayak; pontoon; powerboat; sailing,boat charter; boat rental; canoe rental; catamaran rental; kayak rental; kayak tours; motorboat rental; pontoon rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJT720oDKPmYARl61Bj0YsY04,https://maps.google.com/?cid=5648407039215512983&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
36,survivor,cleared_gates_0-5,,,Tahoe City Marina,https://tahoecitymarina.com/,Marina,marina,OPERATIONAL,4.7,325,true,canoe; pontoon; powerboat; pwc; sailing; wakeboard,boat charter; boat rental; canoe rental; jet ski rental; pontoon rental; sailboat rental; ski boat rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJH4LWWHR9mYARypcqpL18ETo,https://maps.google.com/?cid=4184262682748819402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
37,survivor,cleared_gates_0-5,,,Reno Running Company,http://www.renorunningcompany.com/?utm_source=GBP&utm_medium=organic&utm_campaign=office,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.8,324,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJe7KVfY4UmYAR3qXoQM1Ay4Y,https://maps.google.com/?cid=9712928271656068574&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
38,survivor,cleared_gates_0-5,,,Tahoe Paddleboard,http://tahoepaddleboards.com/,Services,service,OPERATIONAL,5,31,true,sup; watersports,paddleboard rental; watersports rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ61OIM8JdvisRals0bp9N-Kw,https://maps.google.com/?cid=12463797315891911530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
39,survivor,cleared_gates_0-5,,,Wildcreek Golf Course,http://wildcreekgolf.org/,Golf Course,golf_course,OPERATIONAL,4.1,315,true,disc-golf,disc golf rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ4S8bg5Q4mYARXFLK0q7-JzY,https://maps.google.com/?cid=3902367628954063452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
40,survivor,cleared_gates_0-5,,,Ridezilla Carson City,https://www.ridezillacarsoncity.com/?utm_source=GBP&utm_medium=organic&utm_campaign=Google+Business+Profile,Store,store,OPERATIONAL,4.3,308,true,alpine-ski; cycling; gear-shop,bike shop; ski shop; sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJKxjishWgmYARWBVz_LczFyE,https://maps.google.com/?cid=2384431393023399256&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
41,survivor,cleared_gates_0-5,,,Custom Truck Accessories,http://www.customtruckaccessories.com/,Auto Parts Store,auto_parts_store,OPERATIONAL,4.6,304,true,cycling,bike shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJ68T-F6hAmYAREF_0sCPEfNg,https://maps.google.com/?cid=15599558866876260112&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
42,survivor,cleared_gates_0-5,,,Big Valley Honda,https://www.bigvalleyhonda.com/,Store,store,OPERATIONAL,4.1,293,true,cycling,bike shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJV-HhD14_mYAR-b3DwgBOgkM,https://maps.google.com/?cid=4864536312688131577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
43,survivor,cleared_gates_0-5,,,395 Motorsports,https://395motorsports.com/,Store,store,OPERATIONAL,4.7,281,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJVQxMsMKhmYAR_PyQ-fh0wow,https://maps.google.com/?cid=10142797923479518460&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
44,survivor,cleared_gates_0-5,,,Boat Tahoe,http://www.boat-tahoe.com/,Tour Agency,tour_agency,OPERATIONAL,5,280,true,canoe; kayak; powerboat; pwc; sailing; wakeboard; watersports,boat charter; boat rental; canoe rental; jet ski rental; kayak rental; kayak tours; motorboat rental; personal watercraft rental; sailboat rental; ski boat rental; watersports rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJEdu51jmPmYARTJ23sNf4XRo,https://maps.google.com/?cid=1899948223086697804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
45,survivor,cleared_gates_0-5,,,Soaring Ranch,https://www.soaringranch.com/,Business Center,business_center,OPERATIONAL,4.6,271,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: the registrable domain corresponds to the operator name.,domain_matches_operator_name,,ChIJZUB46UNhmYARbSvWYOfMMQA,https://maps.google.com/?cid=14017567992982381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
46,survivor,cleared_gates_0-5,,,North Tahoe Cruises - Tahoe Gal,http://www.tahoegal.com/,Tour Agency,tour_agency,OPERATIONAL,4.4,265,true,powerboat,boat charter; boat rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJc6q_mnR9mYARpe52BYgwqMY,https://maps.google.com/?cid=14314744776362487461&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
47,survivor,cleared_gates_0-5,,,Sky Tavern Ski Area,http://www.skytavern.com/,Ski Resort,ski_resort,OPERATIONAL,4.7,260,true,alpine-ski; snow-tube; snowboard,ski rental; snow tube rental; snowboard rental,core; experience,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJFZVNNyJsmYARqosfF4RISB4,https://maps.google.com/?cid=2182073751621831594&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
48,survivor,cleared_gates_0-5,,,Reno Ice - The Jennifer M. O'Neal Community Ice Arena,http://renoice.com/,Ice Skating Rink,ice_skating_rink,OPERATIONAL,4.7,253,true,ice-skate,ice skate rental,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJb4kBX-c_mYARuEEVusInJmM,https://maps.google.com/?cid=7144441576168964536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
49,survivor,cleared_gates_0-5,,,Flip's Boats,http://flipsboats.com/,Services,service,OPERATIONAL,5,24,true,canoe; pontoon; powerboat; pwc,boat rental; canoe rental; personal watercraft rental; pontoon rental,core,service-area,service_area_unknown_location,,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJsx-cX9vjmiERQCS6KfXmm5k,https://maps.google.com/?cid=11068694449834566720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
50,survivor,cleared_gates_0-5,,,Sierra Motorcycle Supply,http://www.shopbetamotorcycle.com/,Store,store,OPERATIONAL,3.8,244,true,cycling,bike shop,core,standard,covered_tile,0,operator,,Live HTTPS site (200). First-party check: operator name appears on the page.,operator_name_match,,ChIJE4diopI-mYARakKyMkQMXxk,https://maps.google.com/?cid=1828193460783563370&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
